id,appearance,attackDamage,attackRange,attackInterval,health,armor,speed,bonusMoney,priority,skill,color,Killtype,EventClass,propensity,clearpoint,dropItem,exp,name
1100,zbs_bossL_big01,1,300,2,900000,600000,400,32000,2,0,255 255 255,0,171,-1,0,3,22400,prototype_phobos
30200,zbs_bossL_big02,1,300,2,1000000,800000,200,32000,2,0,255 255 255,0,170,-1,0,3,12800,siezetype_phobos
30300,zbs_bossL_big03,1,300,2,1250000,1000000,220,32000,2,0,255 255 255,0,170,-1,0,3,22400,Oberon
30501,zbs_bossL_big04,1,300,2,1250000,1000000,220,32000,2,0,255 255 255,0,170,-1,0,3,22400,Dione
30600,zbs_bossL_big05,1,300,2,1300000,1250000,250,32000,2,0,255 255 255,0,170,-1,0,3,22400,Revenant
30700,zbs_bossL_big06,1,300,2,1500000,1500000,220,32000,2,0,255 255 255,0,172,-1,0,3,22400,Angra
30800,zbs_bossL_big07,1,300,2,1300000,1300000,250,32000,2,0,255 255 255,0,170,-1,0,3,12600,Fallen Titan
30900,zbs_bossL_big08,1,300,2,1250000,1000000,220,32000,2,0,255 255 255,0,172,-1,0,3,22400,scorpion
31000,zbs_bossL_big09,501,310,2,3000000,2500000,205,32000,2,0,255 255 255,0,172,-1,0,3,22400,Mad Mechanic
31100,krakenbody,1,300,2,1000000,1000000,0,32000,2,0,255 255 255,0,170,-1,0,3,22400,Kraken
31103,kraken_tentacle,1,300,2,500000,500000,0,32000,2,0,255 255 255,0,170,-1,0,0,22400,Kraken tentacle
31200,frozenterror,1,1,2,3500000,3000000,250,32000,2,0,255 255 255,0,170,-1,0,3,22400,Frozen Wrath
31300,gluttony,1,300,2,1300000,1000000,180,32000,2,0,255 255 255,0,172,-1,0,3,22400,gluttony
32000,envy_zavist,0,0,0,1650000,1650000,320,32000,2,0,255 255 255,0,172,-1,0,3,22400,envy_zavist
32001,envy_neid,0,0,0,1650000,1650000,320,32000,2,0,255 255 255,0,172,-1,0,3,22400,envy_neid
32100,bearboss,1,300,2,1000000,500000,250,18000,2,0,255 255 255,0,170,-1,0,21,15000,bearboss
32201,infectedrex,1,300,2,3000000,3000000,300,32000,2,0,255 255 255,0,170,2,100,3,22400,infected_Rex
32300,grasshopper,1,300,2,1250000,1000000,500,32000,2,0,255 255 255,0,172,2,100,3,22400,grasshopper
32400,zombiejack,1,300,2,1250000,1000000,500,32000,2,0,255 255 255,0,172,2,100,3,22400,jack
