#enable,#map_id,#mode_id,#weight,#tip_image,#tip_text
1,0,0,1,Tooltip_Original_DM,#CSO_MaploadingTip_ORIGINAL_DM
1,0,1,1,Tooltip_Deathmatch,#CSO_MaploadingTip_DM
1,0,2,1,Tooltip_TeamDeathmatch,#CSO_MaploadingTip_TDM
1,0,3,1,Tooltip_Original_DM,#CSO_MaploadingTip_ORIGINAL_DM
1,0,4,1,Tooltip_Deathmatch,#CSO_MaploadingTip_DM_BOT
1,0,5,1,Tooltip_TeamDeathmatch,#CSO_MaploadingTip_TDM_BOT
1,0,40,1,Tooltip_Allstar_01,#CSO_MaploadingTip_Allstar
1,1,0,1,Tooltip_Original_CS,#CSO_MaploadingTip_ORIGINAL_CS
1,1,1,1,Tooltip_Deathmatch,#CSO_MaploadingTip_DM
1,1,2,1,Tooltip_TeamDeathmatch,#CSO_MaploadingTip_TDM
1,1,3,1,Tooltip_Original_CS,#CSO_MaploadingTip_ORIGINAL_CS
1,1,4,1,Tooltip_Deathmatch,#CSO_MaploadingTip_DM_BOT
1,1,5,1,Tooltip_TeamDeathmatch,#CSO_MaploadingTip_TDM_BOT
1,1,22,1,Tooltip_GDM_01,#CSO_MaploadingTip_GDM_01
1,1,22,1,Tooltip_GDM_02,#CSO_MaploadingTip_GDM_02
1,1,40,1,Tooltip_Allstar_01,#CSO_MaploadingTip_Allstar
1,2,0,1,Tooltip_Original_CS,#CSO_MaploadingTip_ORIGINAL_CS
1,2,1,1,Tooltip_Deathmatch,#CSO_MaploadingTip_DM
1,2,2,1,Tooltip_TeamDeathmatch,#CSO_MaploadingTip_TDM
1,2,3,1,Tooltip_Original_CS,#CSO_MaploadingTip_ORIGINAL_CS
1,2,4,1,Tooltip_Deathmatch,#CSO_MaploadingTip_DM_BOT
1,2,5,1,Tooltip_TeamDeathmatch,#CSO_MaploadingTip_TDM_BOT
1,2,8,1,Tooltip_Zombie,#CSO_MaploadingTip_ZM
1,2,9,1,Tooltip_Zombie2_01,#CSO_MaploadingTip_ZM2
1,2,9,1,Tooltip_Zombie2_02,#CSO_MaploadingTip_ZM2
1,2,9,1,Tooltip_Zombie2_03,#CSO_MaploadingTip_ZM2
1,2,9,1,Tooltip_Zombie2_04,#CSO_MaploadingTip_ZM2
1,2,9,1,Tooltip_Zombie2_05,#CSO_MaploadingTip_ZM2
1,2,14,1,Tooltip_Zombie3_01,#CSO_MaploadingTip_ZM3
1,2,14,1,Tooltip_Zombie3_02,#CSO_MaploadingTip_ZM3
1,2,14,1,Tooltip_Zombie3_03,#CSO_MaploadingTip_ZM3
1,2,40,1,Tooltip_Allstar_01,#CSO_MaploadingTip_Allstar
1,2,45,1,Tooltip_Zombie3z_01,#CSO_MaploadingTip_ZM3Z
1,3,0,1,Tooltip_Original_DE,#CSO_MaploadingTip_ORIGINAL_DE
1,3,1,1,Tooltip_Deathmatch,#CSO_MaploadingTip_DM
1,3,2,1,Tooltip_TeamDeathmatch,#CSO_MaploadingTip_TDM
1,3,3,1,Tooltip_Original_DE,#CSO_MaploadingTip_ORIGINAL_DE
1,3,4,1,Tooltip_Deathmatch,#CSO_MaploadingTip_DM_BOT
1,3,5,1,Tooltip_TeamDeathmatch,#CSO_MaploadingTip_TDM_BOT
1,3,11,1,Tooltip_ZombieUnite,#CSO_MaploadingTip_ZTDM
1,3,13,1,Tooltip_ZombieUnite_DM,#CSO_MaploadingTip_ZTDM_ANN
1,3,40,1,Tooltip_Allstar_01,#CSO_MaploadingTip_Allstar
1,4,0,1,Tooltip_Original_DE,#CSO_MaploadingTip_ORIGINAL_DE
1,4,1,1,Tooltip_Deathmatch,#CSO_MaploadingTip_DM
1,4,2,1,Tooltip_TeamDeathmatch,#CSO_MaploadingTip_TDM
1,4,3,1,Tooltip_Original_DE,#CSO_MaploadingTip_ORIGINAL_DE
1,4,4,1,Tooltip_Deathmatch,#CSO_MaploadingTip_DM_BOT
1,4,5,1,Tooltip_TeamDeathmatch,#CSO_MaploadingTip_TDM_BOT
1,4,8,1,Tooltip_Zombie,#CSO_MaploadingTip_ZM
1,4,9,1,Tooltip_Zombie2_01,#CSO_MaploadingTip_ZM2
1,4,9,1,Tooltip_Zombie2_02,#CSO_MaploadingTip_ZM2
1,4,9,1,Tooltip_Zombie2_03,#CSO_MaploadingTip_ZM2
1,4,9,1,Tooltip_Zombie2_04,#CSO_MaploadingTip_ZM2
1,4,9,1,Tooltip_Zombie2_05,#CSO_MaploadingTip_ZM2
1,4,11,1,Tooltip_ZombieUnite,#CSO_MaploadingTip_ZTDM
1,4,13,1,Tooltip_ZombieUnite_DM,#CSO_MaploadingTip_ZTDM_ANN
1,4,14,1,Tooltip_Zombie3_01,#CSO_MaploadingTip_ZM3
1,4,14,1,Tooltip_Zombie3_02,#CSO_MaploadingTip_ZM3
1,4,14,1,Tooltip_Zombie3_03,#CSO_MaploadingTip_ZM3
1,4,29,1,Tooltip_Zombie4_01,#CSO_MaploadingTip_ZM4
1,4,29,1,Tooltip_Zombie4_02,#CSO_MaploadingTip_ZM4
1,4,29,1,Tooltip_Zombie4_03,#CSO_MaploadingTip_ZM4
1,4,29,1,Tooltip_Zombie4_04,#CSO_MaploadingTip_ZM4
