;MapID, map_name,EventType,EventFileName
181,#CSO_italy_event_zombi_3,ZombieBomb,ZombieBomb
181,#CSO_italy_event_zombi_3,HumanInfinityClip,HumanInfinityClip
181,#CSO_italy_event_zombi_3,ZombieSkillCoolTime,ZombieSkillCoolTime
181,#CSO_italy_event_zombi_3,ZombieItemMode,ZombieItemMode
181,#CSO_italy_event_zombi_3,NoRibbon,
182,#CSO_dust_event_zombi_3,ZombieBomb,ZombieBomb
182,#CSO_dust_event_zombi_3,HumanInfinityClip,HumanInfinityClip
182,#CSO_dust_event_zombi_3,ZombieSkillCoolTime,ZombieSkillCoolTime
182,#CSO_dust_event_zombi_3,ZombieItemMode,ZombieItemMode
182,#CSO_dust_event_zombi_3,NoRibbon,
183,#CSO_memories1_ModeEvent,BonusWeapon,
183,#CSO_memories1_ModeEvent,NoRibbon,
184,#CSO_memories2_ModeEvent,BonusWeapon,
184,#CSO_memories2_ModeEvent,NoRibbon,
185,#CSO_memories3_ModeEvent,BonusWeapon,
185,#CSO_memories3_ModeEvent,NoRibbon,
186,#CSO_italy_event2_zombi_3,ZombieDivision,
186,#CSO_italy_event2_zombi_3,NoRibbon,
191,#CSO_assault_event_zombi_3,ZombieBomb,ZombieBomb
191,#CSO_assault_event_zombi_3,HumanInfinityClip,HumanInfinityClip
191,#CSO_assault_event_zombi_3,ZombieSkillCoolTime,ZombieSkillCoolTime
191,#CSO_assault_event_zombi_3,ZombieItemMode,ZombieItemMode
191,#CSO_assault_event_zombi_3,NoRibbon,
192,#CSO_estate_event_zombi_3,ZombieBomb,ZombieBomb
192,#CSO_estate_event_zombi_3,HumanInfinityClip,HumanInfinityClip
192,#CSO_estate_event_zombi_3,ZombieSkillCoolTime,ZombieSkillCoolTime
192,#CSO_estate_event_zombi_3,ZombieItemMode,ZombieItemMode
192,#CSO_estate_event_zombi_3,NoRibbon,
193,#CSO_deadcity_event_pve,ZombieShelterFreedom,ZombieShelterFreedom
193,#CSO_deadcity_event_pve,NoRibbon,
197,#cso_decoy_ModeEvent,BonusWeapon,
197,#cso_decoy_ModeEvent,NoRibbon,
201,#CSO_paranoia_FrozenEvent,FrozenWrath,
201,#CSO_paranoia_FrozenEvent,NoRibbon,
213,#CSO_italy_event3_zombi_3,ZombieRandomWeaponMode,
213,#CSO_italy_event3_zombi_3,NoRibbon,
214,#CSO_assault_event3_zombi_3,ZombieRandomWeaponMode,
214,#CSO_assault_event3_zombi_3,NoRibbon,
215,#CSO_dust_event3_zombi_3,ZombieRandomWeaponMode,
215,#CSO_dust_event3_zombi_3,NoRibbon,
216,#CSO_origin_event3_zombi_3,ZombieRandomWeaponMode,
216,#CSO_origin_event3_zombi_3,NoRibbon,
217,#CSO_Abyss2_event3_zombi_3,ZombieRandomWeaponMode,
217,#CSO_Abyss2_event3_zombi_3,NoRibbon,
222,#CSO_italy_dna_test,Zombie3Renewal,
222,#CSO_italy_dna_test,NoRibbon,
223,#CSO_assault_dna_test,Zombie3Renewal,
223,#CSO_assault_dna_test,NoRibbon,
224,#CSO_estate_dna_test,Zombie3Renewal,
224,#CSO_estate_dna_test,NoRibbon,
225,#CSO_wintershelter_dna_test,Zombie3Renewal,
225,#CSO_wintershelter_dna_test,NoRibbon,
226,#CSO_dust_dna_test,Zombie3Renewal,
226,#CSO_dust_dna_test,NoRibbon,
227,#CSO_Abyss2_dna_test,Zombie3Renewal,
227,#CSO_Abyss2_dna_test,NoRibbon,
228,#CSO_estate_event3_zombi_3,ZombieRandomWeaponMode,
228,#CSO_estate_event3_zombi_3,NoRibbon,
229,#CSO_militia_kr_event3_zombi_3,ZombieRandomWeaponMode,
229,#CSO_militia_kr_event3_zombi_3,NoRibbon,
231,#CSO_italy_event_Zombie3LastStand,Zombie3LastStand,
231,#CSO_italy_event_Zombie3LastStand,NoRibbon,
232,#CSO_dust_event_Zombie3LastStand,Zombie3LastStand,
232,#CSO_dust_event_Zombie3LastStand,NoRibbon,
240,#CSO_italy_event_randomrule,ZombieRandomRuleMode,
240,#CSO_italy_event_randomrule,NoRibbon,
242,#CSO_assault_event_randomrule,ZombieRandomRuleMode,
242,#CSO_assault_event_randomrule,NoRibbon,
