;item shop안에 player model 에니메이션 제어,,,,
;item id,sequence,gait sequence,initial sequence,initial gait sequence
4,0,1,10,11
1,0,1,10,11
5,0,1,10,11
3,0,1,10,11
2,0,1,10,11
6,0,1,10,11
21,2,3,10,11
16,4,5,10,11
20,4,5,10,11
23,2,3,10,11
15,2,3,10,11
33,2,3,10,11
35,4,5,10,11
34,2,3,10,11
14,6,7,10,11
39,6,7,10,11
22,6,7,10,11
17,6,7,10,11
18,6,7,10,11
19,4,5,10,11
7,8,9,10,11
38,8,9,10,11
8,8,9,10,11
36,4,5,10,11
24,8,9,10,11
10,4,5,10,11
12,4,5,10,11
37,4,5,10,11
11,4,5,10,11
32,4,5,10,11
9,4,5,10,11
13,4,5,10,11
113,2,3,10,11
114,2,3,10,11
148,6,7,10,11
157,6,7,10,11
159,6,7,10,11
160,8,9,10,11
169,6,7,10,11
170,2,3,10,11
171,2,3,10,11
172,0,1,10,11
121,6,7,10,11
122,2,3,10,11
124,2,3,10,11
127,0,1,10,11
187,6,7,10,11
141,2,3,10,11
142,2,3,10,11
197,8,9,10,11
202,4,5,10,11
203,4,5,10,11
130,4,5,10,11
213,2,3,10,11
220,8,9,10,11
221,6,7,10,11
222,2,3,10,11
120,6,7,10,11
233,6,7,10,11
128,4,5,10,11
129,2,3,10,11
242,0,1,10,11
243,2,3,10,11
244,4,5,10,11
245,0,1,10,11
246,6,7,10,11
255,4,5,10,11
261,0,1,10,11
262,4,5,10,11
267,2,3,10,11
268,6,7,10,11
270,0,1,10,11
271,8,9,10,11
279,2,3,10,11
280,2,3,10,11
282,4,5,10,11
283,4,5,10,11
304,2,3,10,11
307,2,3,10,11
308,0,1,10,11
309,4,5,10,11
310,8,9,10,11
311,4,5,10,11
312,4,5,10,11
322,4,5,10,11
327,8,9,10,11
330,0,1,10,11
337,6,7,10,11
341,0,1,10,11
342,6,7,10,11
344,4,5,10,11
343,4,5,10,11
347,4,5,10,11
346,4,5,10,11
354,6,7,10,11
355,6,7,10,11
356,2,3,10,11
357,4,5,10,11
364,4,5,10,11
365,2,3,10,11
367,2,3,10,11
372,8,9,10,11
370,4,5,10,11
371,0,1,10,11
379,2,3,10,11
380,6,7,10,11
382,6,7,10,11
383,6,7,10,11
384,4,5,10,11
385,6,7,10,11
389,2,3,10,11
397,2,3,10,11
398,6,7,10,11
400,2,3,10,11
406,8,9,10,11
407,0,1,10,11
413,4,5,10,11
414,6,7,10,11
415,4,5,10,11
416,0,1,10,11
417,12,13,10,11
339,12,13,10,11
422,2,3,10,11
423,2,3,10,11
420,2,3,10,11
421,0,1,10,11
424,4,5,10,11
427,4,5,10,11
428,4,5,10,11
429,4,5,10,11
430,2,3,10,11
431,6,7,10,11
434,2,3,10,11
435,6,7,10,11
437,8,9,10,11
441,4,5,10,11
442,6,7,10,11
443,2,3,10,11
444,4,5,10,11
445,0,1,10,11
446,2,3,10,11
447,2,3,10,11
448,6,7,10,11
449,6,7,10,11
450,0,1,10,11
451,0,1,10,11
452,8,9,10,11
453,0,1,10,11
454,6,7,10,11
456,8,9,10,11
457,2,3,10,11
458,14,15,10,11
461,2,3,10,11
463,4,5,10,11
466,6,7,10,11
467,4,5,10,11
468,4,5,10,11
482,4,5,10,11
484,6,7,10,11
486,2,3,10,11
487,2,3,10,11
488,6,7,10,11
491,2,3,10,11
492,2,3,10,11
6001,6,7,10,11
6002,6,7,10,11
493,8,9,10,11
495,6,7,10,11
496,2,3,10,11
497,8,9,10,11
503,8,9,10,11
509,4,5,10,11
517,0,1,10,11
6003,6,7,10,11
6004,2,3,10,11
6005,4,5,10,11
518,14,15,10,11
519,4,5,10,11
523,2,3,10,11
525,8,9,10,11
530,4,5,10,11
531,8,9,10,11
532,4,5,10,11
538,4,5,10,11
539,2,3,10,11
6006,6,7,10,11
6007,8,9,10,11
6008,2,3,10,11
6009,6,7,10,11
548,4,5,10,11
553,4,5,10,11
554,8,9,10,11
561,4,5,10,11
562,8,9,10,11
563,6,7,10,11
564,4,5,10,11
556,14,15,10,11
567,2,3,10,11
568,4,5,10,11
569,4,5,10,11
570,0,1,10,11
571,0,1,10,11
572,4,5,10,11
577,4,5,10,11
582,4,5,10,11
583,8,9,10,11
585,4,5,10,11
587,4,5,10,11
588,4,5,10,11
589,4,5,10,11
590,4,5,10,11
591,8,9,10,11
595,6,7,10,11
601,4,5,10,11
602,6,7,10,11
608,6,7,10,11
609,2,3,10,11
610,4,5,10,11
679,2,3,10,11
680,0,1,10,11
682,6,7,10,11
683,2,3,10,11
684,8,9,10,11
685,0,1,10,11
686,4,5,10,11
687,4,5,10,11
688,6,7,10,11
690,8,9,10,11
691,2,3,10,11
697,2,3,10,11
703,6,7,10,11
706,6,7,10,11
711,4,5,10,11
713,6,7,10,11
714,6,7,10,11
715,4,5,10,11
716,0,1,10,11
717,4,5,10,11
718,14,15,10,11
719,4,5,10,11
721,6,7,10,11
722,6,7,10,11
723,4,5,10,11
724,0,1,10,11
725,4,5,10,11
728,2,3,10,11
733,4,5,10,11
734,4,5,10,11
741,2,3,10,11
748,2,3,10,11
749,8,9,10,11
752,6,7,10,11
753,4,5,10,11
761,14,15,10,11
763,4,5,10,11
764,4,5,10,11
769,8,9,10,11
770,4,5,10,11
771,4,5,10,11
781,4,5,10,11
783,0,1,10,11
788,0,1,10,11
789,4,5,10,11
792,2,3,10,11
805,8,9,10,11
809,2,3,10,11
810,2,3,10,11
812,0,1,10,11
813,6,7,10,11
815,14,15,10,11
824,0,1,10,11
825,6,7,10,11
831,6,7,10,11
832,14,15,10,11
833,2,3,10,11
834,4,5,10,11
840,6,7,10,11
842,8,9,10,11
844,14,15,10,11
846,4,5,10,11
847,6,7,10,11
848,4,5,10,11
857,6,7,10,11
859,4,5,10,11
873,8,9,10,11
875,2,3,10,11
867,4,5,10,11
868,4,5,10,11
876,6,7,10,11
880,4,5,10,11
891,4,5,10,11
892,6,7,10,11
893,6,7,10,11
918,8,9,10,11
899,2,3,10,11
901,6,7,10,11
902,6,7,10,11
903,6,7,10,11
904,6,7,10,11
905,6,7,10,11
906,6,7,10,11
907,6,7,10,11
908,6,7,10,11
909,6,7,10,11
910,6,7,10,11
920,8,9,10,11
921,8,9,10,11
923,4,5,10,11
924,6,7,10,11
928,8,9,10,11
931,8,9,10,11
934,6,7,10,11
935,2,3,10,11
936,2,3,10,11
945,4,5,10,11
959,4,5,10,11
954,0,1,10,11
960,4,5,10,11
962,2,3,10,11
964,4,5,10,11
968,4,5,10,11
977,8,9,10,11
981,6,7,10,11
983,4,5,10,11
8033,4,5,10,11
8046,14,15,10,11
8045,4,5,10,11
8050,8,9,10,11
8054,6,7,10,11
8055,14,15,10,11
8048,2,3,10,11
8077,4,5,10,11
8078,6,7,10,11
8091,4,5,10,11
8094,2,3,10,11
8100,8,9,10,11
8101,2,3,10,11
8106,4,5,10,11
8113,4,5,10,11
8110,8,9,10,11
8111,4,5,10,11
8117,8,9,10,11
8118,4,5,10,11
8119,4,5,10,11
8132,8,9,10,11
8143,4,5,10,11
8149,2,3,10,11
8150,0,1,10,11
8151,8,9,10,11
8152,6,7,10,11
8153,4,5,10,11
8154,4,5,10,11
8155,0,1,10,11
8156,6,7,10,11
8157,4,5,10,11
8158,6,7,10,11
8159,6,7,10,11
8160,0,1,10,11
8161,2,3,10,11
8162,2,3,10,11
8165,0,1,10,11
8171,14,15,10,11
8172,4,5,10,11
8174,6,7,10,11
8175,0,1,10,11
8176,8,9,10,11
8178,4,5,10,11
8193,6,7,10,11
8200,8,9,10,11
8201,2,3,10,11
8202,0,1,10,11
8203,6,7,10,11
8204,0,1,10,11
8205,2,3,10,11
8220,2,3,10,11
8221,4,5,10,11
8229,4,5,10,11
8231,4,5,10,11
8232,8,9,10,11
8233,4,5,10,11
8234,6,7,10,11
8235,4,5,10,11
8247,8,9,10,11
8249,14,15,10,11
8258,4,5,10,11
8282,4,5,10,11
8262,4,5,10,11
8263,6,7,10,11
8264,4,5,10,11
8265,4,5,10,11
8266,6,7,10,11
8295,4,5,10,11
8314,14,15,10,11
8315,6,7,10,11
8316,2,3,10,11
8317,4,5,10,11
8318,2,3,10,11
8319,2,3,10,11
8320,4,5,10,11
8322,2,3,10,11
8327,8,9,10,11
8330,4,5,10,11
8331,6,7,10,11
8350,2,3,10,11
8356,14,15,10,11
8382,2,3,10,11
8385,4,5,10,11
8393,4,5,10,11
8394,4,5,10,11
8395,4,5,10,11
8396,4,5,10,11
8414,6,7,10,11
