;item shop안에 player model 에니메이션 제어,,,,
;item id,sequence,gait sequence,initial sequence,initial gait sequence
4,0,1,,
1,0,1,,
5,0,1,,
3,0,1,,
2,0,1,,
6,0,1,,
21,2,3,,
16,4,5,,
20,4,5,,
23,2,3,,
15,2,3,,
33,2,3,,
35,4,5,,
34,2,3,,
14,6,7,,
39,6,7,,
22,6,7,,
17,6,7,,
18,6,7,,
19,4,5,,
7,4,5,,
38,4,5,,
8,4,5,,
36,4,5,,
24,4,5,,
10,4,5,,
12,0,1,8,9
37,4,5,,
11,4,5,,
32,4,5,,
9,4,5,,
13,4,5,,
113,2,3,,
114,2,3,,
148,6,7,,
157,6,7,,
159,6,7,,
160,4,5,,
0,0,1,8,9
169,6,7,,
170,2,3,,
171,2,3,,
172,0,1,,
121,6,7,,
122,2,3,,
124,2,3,,
127,0,1,,
187,6,7,,
141,2,3,,
142,2,3,,
197,0,1,8,9
202,4,5,,
203,4,5,,
130,4,5,,
213,6,7,,
220,0,1,8,9
221,6,7,,
222,2,3,,
120,6,7,,
233,6,7,,
128,0,1,8,9
129,2,3,,
242,0,1,,
243,2,3,,
244,0,1,,
245,0,1,,
246,6,7,,
255,4,5,,
261,0,1,,
262,4,5,,
267,6,7,,
268,6,7,,
270,0,1,,
271,4,5,,
279,2,3,,
280,2,3,,
282,0,1,8,9
283,0,1,8,9
304,2,3,,
307,2,3,,
308,0,1,,
309,0,1,8,9
310,4,5,,
311,0,1,8,9
321,0,1,8,9
322,0,1,8,9
327,4,5,,
330,0,1,,
337,6,7,,
341,0,1,,
342,6,7,,
344,4,5,,
343,4,5,,
347,4,5,,
346,4,5,,
354,6,7,,
355,6,7,,
356,2,3,,
357,4,5,,
365,2,3,,
364,4,5,,
367,2,3,,
372,4,5,,
370,0,1,8,9
371,0,1,,
379,2,3,,
380,6,7,,
382,6,7,,
383,6,7,,
384,0,1,8,9
385,6,7,,
389,2,3,,
397,6,7,,
398,6,7,,
400,2,3,,
406,4,5,,
407,0,1,,
413,4,5,,
414,6,7,,
415,0,1,8,9
416,0,1,,
417,12,13,,
339,12,13,,
422,2,3,,
423,2,3,,
420,2,3,,
421,0,1,,
424,4,5,,
427,0,1,8,9
428,0,1,8,9
429,4,5,,
430,2,3,,
431,6,7,,
434,2,3,,
435,6,7,,
437,4,5,,
441,0,1,8,9
442,6,7,,
443,2,3,,
444,4,5,,
445,0,1,,
446,2,3,,
447,2,3,,
448,6,7,,
449,6,7,,
450,0,1,,
451,0,1,,
452,4,5,,
453,0,1,,
454,6,7,,
456,4,5,,
457,2,3,,
458,14,15,,
461,2,3,,
463,4,5,,
466,6,7,,
467,0,1,8,9
468,0,1,8,9
482,0,1,8,9
484,6,7,,
486,2,3,,
487,2,3,,
488,6,7,,
491,2,3,,
492,2,3,,
6001,6,7,,
6002,6,7,,
493,4,5,,
495,6,7,,
496,2,3,,
497,4,5,,
503,4,5,,
509,0,1,8,9
517,0,1,,
6003,6,7,,
6004,2,3,,
6005,4,5,,
518,14,15,,
519,4,5,,
523,2,3,,
