mdl 파일 이름,교체 대상 텍스처 번호,페인트 아이템 번호,페인트 텍스처 경로
v_ak47.mdl,0,745,resource/WeaponPaint/texture/ak47_redlight_v.bmp
p_ak47.mdl,0,745,resource/WeaponPaint/texture/ak47_redlight_p.bmp
w_ak47.mdl,0,745,resource/WeaponPaint/texture/ak47_redlight_p.bmp
s_ak47.mdl,0,745,resource/WeaponPaint/texture/ak47_redlight_p.bmp
v_deagle.mdl,0,745,resource/WeaponPaint/texture/deagle_redlight_v.bmp
w_deagle.mdl,0,745,resource/WeaponPaint/texture/deagle_redlight_p.bmp
p_deagle.mdl,0,745,resource/WeaponPaint/texture/deagle_redlight_p.bmp
s_deserteagle.mdl,1,745,resource/WeaponPaint/texture/deagle_redlight_p.bmp
v_m4a1.mdl,0,745,resource/WeaponPaint/texture/m4a1_redlight_v.bmp
p_m4a1.mdl,0,745,resource/WeaponPaint/texture/m4a1_redlight_p.bmp
w_m4a1.mdl,0,745,resource/WeaponPaint/texture/m4a1_redlight_p.bmp
s_m4a1.mdl,0,745,resource/WeaponPaint/texture/m4a1_redlight_p.bmp
v_awp.mdl,0,745,resource/WeaponPaint/texture/awp_redlight_v.bmp
p_awp.mdl,0,745,resource/WeaponPaint/texture/awp_redlight_p.bmp
w_awp.mdl,0,745,resource/WeaponPaint/texture/awp_redlight_p.bmp
s_awp.mdl,0,745,resource/WeaponPaint/texture/awp_redlight_p.bmp
v_ak47.mdl,0,746,resource/WeaponPaint/texture/ak47_bluelight_v.bmp
p_ak47.mdl,0,746,resource/WeaponPaint/texture/ak47_bluelight_p.bmp
w_ak47.mdl,0,746,resource/WeaponPaint/texture/ak47_bluelight_p.bmp
s_ak47.mdl,0,746,resource/WeaponPaint/texture/ak47_bluelight_p.bmp
v_deagle.mdl,0,746,resource/WeaponPaint/texture/deagle_bluelight_v.bmp
p_deagle.mdl,0,746,resource/WeaponPaint/texture/deagle_bluelight_p.bmp
w_deagle.mdl,0,746,resource/WeaponPaint/texture/deagle_bluelight_p.bmp
s_deserteagle.mdl,1,746,resource/WeaponPaint/texture/deagle_bluelight_p.bmp
v_m4a1.mdl,0,746,resource/WeaponPaint/texture/m4a1_bluelight_v.bmp
p_m4a1.mdl,0,746,resource/WeaponPaint/texture/m4a1_bluelight_p.bmp
w_m4a1.mdl,0,746,resource/WeaponPaint/texture/m4a1_bluelight_p.bmp
s_m4a1.mdl,0,746,resource/WeaponPaint/texture/m4a1_bluelight_p.bmp
v_awp.mdl,0,746,resource/WeaponPaint/texture/awp_bluelight_v.bmp
p_awp.mdl,0,746,resource/WeaponPaint/texture/awp_bluelight_p.bmp
w_awp.mdl,0,746,resource/WeaponPaint/texture/awp_bluelight_p.bmp
s_awp.mdl,0,746,resource/WeaponPaint/texture/awp_bluelight_p.bmp
v_ak47.mdl,0,747,resource/WeaponPaint/texture/ak47_erica_v.bmp
p_ak47.mdl,0,747,resource/WeaponPaint/texture/ak47_erica_p.bmp
w_ak47.mdl,0,747,resource/WeaponPaint/texture/ak47_erica_p.bmp
s_ak47.mdl,0,747,resource/WeaponPaint/texture/ak47_erica_p.bmp
v_deagle.mdl,0,747,resource/WeaponPaint/texture/deagle_erica_v.bmp
p_deagle.mdl,0,747,resource/WeaponPaint/texture/deagle_erica_p.bmp
w_deagle.mdl,0,747,resource/WeaponPaint/texture/deagle_erica_p.bmp
s_deserteagle.mdl,1,747,resource/WeaponPaint/texture/deagle_erica_p.bmp
v_m4a1.mdl,0,747,resource/WeaponPaint/texture/m4a1_erica_v.bmp
p_m4a1.mdl,0,747,resource/WeaponPaint/texture/m4a1_erica_p.bmp
w_m4a1.mdl,0,747,resource/WeaponPaint/texture/m4a1_erica_p.bmp
s_m4a1.mdl,0,747,resource/WeaponPaint/texture/m4a1_erica_p.bmp
v_awp.mdl,0,747,resource/WeaponPaint/texture/awp_erica_v.bmp
p_awp.mdl,0,747,resource/WeaponPaint/texture/awp_erica_p.bmp
w_awp.mdl,0,747,resource/WeaponPaint/texture/awp_erica_p.bmp
s_awp.mdl,0,747,resource/WeaponPaint/texture/awp_erica_p.bmp
v_ak47.mdl,0,807,resource/WeaponPaint/texture/ak47_eagle_v.bmp
p_ak47.mdl,0,807,resource/WeaponPaint/texture/ak47_eagle_p.bmp
w_ak47.mdl,0,807,resource/WeaponPaint/texture/ak47_eagle_p.bmp
s_ak47.mdl,0,807,resource/WeaponPaint/texture/ak47_eagle_p.bmp
v_deagle.mdl,0,807,resource/WeaponPaint/texture/deagle_eagle_v.bmp
w_deagle.mdl,0,807,resource/WeaponPaint/texture/deagle_eagle_p.bmp
p_deagle.mdl,0,807,resource/WeaponPaint/texture/deagle_eagle_p.bmp
s_deserteagle.mdl,1,807,resource/WeaponPaint/texture/deagle_eagle_p.bmp
v_m4a1.mdl,0,807,resource/WeaponPaint/texture/m4a1_eagle_v.bmp
p_m4a1.mdl,0,807,resource/WeaponPaint/texture/m4a1_eagle_p.bmp
w_m4a1.mdl,0,807,resource/WeaponPaint/texture/m4a1_eagle_p.bmp
s_m4a1.mdl,0,807,resource/WeaponPaint/texture/m4a1_eagle_p.bmp
v_awp.mdl,0,807,resource/WeaponPaint/texture/awp_eagle_v.bmp
p_awp.mdl,0,807,resource/WeaponPaint/texture/awp_eagle_p.bmp
w_awp.mdl,0,807,resource/WeaponPaint/texture/awp_eagle_p.bmp
s_awp.mdl,0,807,resource/WeaponPaint/texture/awp_eagle_p.bmp
v_ak47.mdl,0,822,resource/WeaponPaint/texture/ak47_galaxy_v.bmp
p_ak47.mdl,0,822,resource/WeaponPaint/texture/ak47_galaxy_p.bmp
w_ak47.mdl,0,822,resource/WeaponPaint/texture/ak47_galaxy_p.bmp
s_ak47.mdl,0,822,resource/WeaponPaint/texture/ak47_galaxy_p.bmp
v_deagle.mdl,0,822,resource/WeaponPaint/texture/deserteagle_galaxy_v.bmp
w_deagle.mdl,0,822,resource/WeaponPaint/texture/deserteagle_galaxy_p.bmp
p_deagle.mdl,0,822,resource/WeaponPaint/texture/deserteagle_galaxy_p.bmp
s_deserteagle.mdl,1,822,resource/WeaponPaint/texture/deserteagle_galaxy_p.bmp
v_m4a1.mdl,0,822,resource/WeaponPaint/texture/m4a1_galaxy_v.bmp
p_m4a1.mdl,0,822,resource/WeaponPaint/texture/m4a1_galaxy_p.bmp
w_m4a1.mdl,0,822,resource/WeaponPaint/texture/m4a1_galaxy_p.bmp
s_m4a1.mdl,0,822,resource/WeaponPaint/texture/m4a1_galaxy_p.bmp
v_awp.mdl,0,822,resource/WeaponPaint/texture/awp_galaxy_v.bmp
p_awp.mdl,0,822,resource/WeaponPaint/texture/awp_galaxy_p.bmp
w_awp.mdl,0,822,resource/WeaponPaint/texture/awp_galaxy_p.bmp
s_awp.mdl,0,822,resource/WeaponPaint/texture/awp_galaxy_p.bmp
v_ak47.mdl,0,823,resource/WeaponPaint/texture/ak47_cjy_v.bmp
p_ak47.mdl,0,823,resource/WeaponPaint/texture/ak47_cjy_p.bmp
w_ak47.mdl,0,823,resource/WeaponPaint/texture/ak47_cjy_p.bmp
s_ak47.mdl,0,823,resource/WeaponPaint/texture/ak47_cjy_p.bmp
v_deagle.mdl,0,823,resource/WeaponPaint/texture/deagle_cjy_v.bmp
w_deagle.mdl,0,823,resource/WeaponPaint/texture/deagle_cjy_p.bmp
p_deagle.mdl,0,823,resource/WeaponPaint/texture/deagle_cjy_p.bmp
s_deserteagle.mdl,1,823,resource/WeaponPaint/texture/deagle_cjy_p.bmp
v_m4a1.mdl,0,823,resource/WeaponPaint/texture/m4a1_cjy_v.bmp
p_m4a1.mdl,0,823,resource/WeaponPaint/texture/m4a1_cjy_p.bmp
w_m4a1.mdl,0,823,resource/WeaponPaint/texture/m4a1_cjy_p.bmp
s_m4a1.mdl,0,823,resource/WeaponPaint/texture/m4a1_cjy_p.bmp
v_awp.mdl,0,823,resource/WeaponPaint/texture/awp_cjy_v.bmp
p_awp.mdl,0,823,resource/WeaponPaint/texture/awp_cjy_p.bmp
w_awp.mdl,0,823,resource/WeaponPaint/texture/awp_cjy_p.bmp
s_awp.mdl,0,823,resource/WeaponPaint/texture/awp_cjy_p.bmp
v_skull1.mdl,0,862,resource/WeaponPaint/texture/skull1_blood_v.bmp
p_skull1.mdl,0,862,resource/WeaponPaint/texture/skull1_blood_p.bmp
w_skull1.mdl,0,862,resource/WeaponPaint/texture/skull1_blood_p.bmp
s_skull1.mdl,0,862,resource/WeaponPaint/texture/skull1_blood_p.bmp
v_skull3.mdl,0,862,resource/WeaponPaint/texture/skull3_blood_v.bmp
p_skull3.mdl,0,862,resource/WeaponPaint/texture/skull3_blood_p.bmp
p_skull3dual.mdl,0,862,resource/WeaponPaint/texture/skull3_blood_p.bmp
w_skull3.mdl,0,862,resource/WeaponPaint/texture/skull3_blood_p.bmp
s_skull3.mdl,0,862,resource/WeaponPaint/texture/skull3_blood_p.bmp
v_skull5.mdl,0,862,resource/WeaponPaint/texture/skull5_blood_v.bmp
p_skull5.mdl,0,862,resource/WeaponPaint/texture/skull5_blood_p.bmp
w_skull5.mdl,0,862,resource/WeaponPaint/texture/skull5_blood_p.bmp
s_skull5.mdl,0,862,resource/WeaponPaint/texture/skull5_blood_p.bmp
v_balrog3.mdl,1,874,resource/WeaponPaint/texture/balrog3_poison_v.bmp
p_balrog3.mdl,0,874,resource/WeaponPaint/texture/balrog3_poison_p.bmp
w_balrog3.mdl,0,874,resource/WeaponPaint/texture/balrog3_poison_p.bmp
s_balrog3.mdl,0,874,resource/WeaponPaint/texture/balrog3_poison_p.bmp
v_balrog11_dekal.mdl,0,874,resource/WeaponPaint/texture/balrog11_poison_v.bmp
p_balrog11_dekal.mdl,0,874,resource/WeaponPaint/texture/balrog11_poison_p.bmp
w_balrog11_dekal.mdl,0,874,resource/WeaponPaint/texture/balrog11_poison_p.bmp
s_balrog11_dekal.mdl,0,874,resource/WeaponPaint/texture/balrog11_poison_p.bmp
v_m249ex.mdl,0,862,resource/WeaponPaint/texture/m249ex_blood_v.bmp
p_m249ex.mdl,0,862,resource/WeaponPaint/texture/m249ex_blood_p.bmp
w_m249ex.mdl,0,862,resource/WeaponPaint/texture/m249ex_blood_p.bmp
s_m249ex.mdl,0,862,resource/WeaponPaint/texture/m249ex_blood_p.bmp
v_skullaxe.mdl,0,862,resource/WeaponPaint/texture/skullaxe_blood_v.bmp
p_skullaxe.mdl,0,862,resource/WeaponPaint/texture/skullaxe_blood_p.bmp
