명령어,이미지,,,
exit,resource/zombi/ZombieType_cancel,,,
selzmb random,resource/zombi/ZombieType_random,,,
selzmb n,resource/zombi/ZombieType_defaultzb,,,
selzmb s,resource/zombi/ZombieType_lightzb,,,
selzmb p,resource/zombi/ZombieType_pczb,,,
selzmb h,resource/zombi/ZombieType_heavyzb,,,
selzmb d,resource/zombi/ZombieType_doctorzb,,,
selzmb e,resource/zombi/ZombieType_deimoszb,,,
selzmb 6,resource/zombi/ZombieType_deimos2zb,,,
selzmb u,resource/zombi/ZombieType_undertakerzb,,,
selzmb w,resource/zombi/ZombieType_witchzb,,,
selzmb b,resource/zombi/ZombieType_boomerzb,,,
selzmb r,resource/zombi/ZombieType_residentzb,,,
selzmb c,resource/zombi/ZombieType_chinazb,,,
selzmb z4n,resource/zombi/zombietype_z4normal,,,
selzmb z4s,resource/zombi/zombietype_z4light,,,`
selzmb z4h,resource/zombi/zombietype_z4heavy,,,
selzmb z4hb,resource/zombi/zombietype_z4humpback,,,
selzmb z4hi,resource/zombi/zombietype_z4hide,,,
selwpn ak47L,resource/zombi/zmrewalk_weapon_ak47L,,,
selwpn mp7a1D,resource/zombi/zmrewalk_weapon_mp7a1_d,,,
selwpn NataKnifeD,resource/zombi/zmrewalk_weapon_NataKnifeD,,,
selwpn poisongun,resource/zombi/zmrewalk_weapon_poisongun,,,
selwpn svdex,resource/zombi/zmrewalk_svdex,,,
selwpn qbarrel,resource/zombi/zmrewalk_qbarrel,,,
selwpn dualkrisshero,resource/zombi/zmrewalk_dualkrisshero,,,
selwpn m134hero,resource/zombi/zmrewalk_m134hero,,,
selwpn deagleD,resource/zombi/zmrewalk_ddeagle,,,
